基准 t0 = epoch 1789900755741 ms;每行:线程 | 事件 | 发出(+ms) | 返回(+ms) | 耗时 ms | SQL
http-nio-8080-exec-164 | getConnection    |   559.1 |   559.1 |    0.00 |
http-nio-8080-exec-164 | getConnection    |   559.6 |   562.1 |    2.47 |
http-nio-8080-exec-164 | getConnection    |   572.1 |   572.1 |    0.00 |
http-nio-8080-exec-164 | SELECT           |   568.1 |   569.1 |    1.00 | SELECT id,ticket_no,title,content,category,priority,status,customer_id

http-nio-8080-exec-166 | getConnection    |   543.0 |   551.1 |    8.08 |
http-nio-8080-exec-166 | getConnection    |   559.1 |   559.1 |    0.00 |
http-nio-8080-exec-166 | getConnection    |   560.8 |   561.1 |    0.28 |
http-nio-8080-exec-166 | getConnection    |   573.1 |   573.1 |    0.00 |
http-nio-8080-exec-166 | SELECT           |   568.7 |   570.1 |    1.43 | SELECT id,ticket_no,title,content,category,priority,status,customer_id

http-nio-8080-exec-161 | getConnection    |   544.2 |   548.1 |    3.89 |
http-nio-8080-exec-161 | getConnection    |   560.8 |   561.1 |    0.32 |
http-nio-8080-exec-161 | getConnection    |   573.1 |   573.1 |    0.01 |
http-nio-8080-exec-161 | SELECT           |   568.7 |   570.1 |    1.34 | SELECT id,ticket_no,title,content,category,priority,status,customer_id

摘要(+ms 相对 t0):线程 | getConnection 等待 | SELECT 发出 | SELECT 返回 | UPDATE 发出 | UPDATE 返回(含行锁等待) | COMMIT 返回 | 窗口 SELECT发出→COMMIT返回
  http-nio-8080-exec-150 |   0.54 |   550.3 |   553.1 |   561.5 |   564.1 |   579.1 |   28.8  UPDATE 执行了
  http-nio-8080-exec-149 |   4.35 |   550.6 |   553.1 |   563.6 |   589.1 |   601.1 |   50.5  UPDATE 执行了
  http-nio-8080-exec-160 |   3.74 |   552.0 |   553.1 |   562.5 |   580.1 |   589.1 |   37.0  UPDATE 执行了
  http-nio-8080-exec-145 |   5.34 |   552.3 |   555.1 |   563.7 |   601.1 |   612.1 |   59.8  UPDATE 执行了
  http-nio-8080-exec-154 |   4.70 |   553.6 |   556.1 |   566.3 |   612.1 |   622.1 |   68.4  UPDATE 执行了
  http-nio-8080-exec-142 |   5.78 |   554.1 |   557.1 |   568.9 |   624.1 |   635.1 |   81.0  UPDATE 执行了
  http-nio-8080-exec-165 |   3.81 |   555.7 |   558.1 |   568.5 |   635.1 |   646.1 |   90.4  UPDATE 执行了
  http-nio-8080-exec-168 |   8.02 |   556.5 |   560.1 |   569.9 |   646.1 |   657.1 |  100.6  UPDATE 执行了
  http-nio-8080-exec-169 |   4.39 |   560.3 |   562.1 |   570.7 |   657.1 |   666.1 |  105.8  UPDATE 执行了
  http-nio-8080-exec-155 |   0.25 |   561.0 |   562.1 |   572.2 |   667.1 |   681.1 |  120.1  UPDATE 执行了
  http-nio-8080-exec-167 |  11.56 |   564.3 |   565.1 |   573.8 |   681.1 |   691.1 |  126.8  UPDATE 执行了
  http-nio-8080-exec-159 |   0.38 |   564.3 |   565.1 |   574.4 |   691.1 |   701.1 |  136.7  UPDATE 执行了
  http-nio-8080-exec-147 |   0.22 |   564.5 |   565.1 |   573.4 |   701.1 |   710.1 |  145.6  UPDATE 执行了
  http-nio-8080-exec-170 |   0.66 |   565.6 |   567.1 |   574.7 |   710.1 |   718.1 |  152.4  UPDATE 执行了
  http-nio-8080-exec-162 |   0.29 |   566.5 |   568.1 |   574.1 |   718.1 |   730.1 |  163.6  UPDATE 执行了
  http-nio-8080-exec-143 |   0.26 |   566.9 |   568.1 |   574.9 |   730.1 |       - |      -  UPDATE 执行了
  http-nio-8080-exec-163 |   1.10 |   567.9 |   569.1 |       - |       - |       - |      -  (只 SELECT,409)
  http-nio-8080-exec-164 |   2.47 |   568.1 |   569.1 |       - |       - |       - |      -  (只 SELECT,409)
  http-nio-8080-exec-166 |   0.28 |   568.7 |   570.1 |       - |       - |       - |      -  (只 SELECT,409)
  http-nio-8080-exec-161 |   0.32 |   568.7 |   570.1 |       - |       - |       - |      -  (只 SELECT,409)
